Home County,Work County,Home County Name,Work County Name,No. of Trips,TripType
53063,04019,,Pima,8,External-Internal
53033,04003,,Cochise,13,External-Internal
04019,04019,Pima,Pima,359296,Internal-Internal
30049,04003,,Cochise,12,External-Internal
06047,04023,,Santa Cruz,11,External-Internal
48113,04019,,Pima,26,External-Internal
08059,04019,,Pima,11,External-Internal
04025,04003,,Cochise,12,External-Internal
04025,04019,,Pima,70,External-Internal
42011,04019,,Pima,8,External-Internal
04013,04023,,Santa Cruz,54,External-Internal
17043,04019,,Pima,18,External-Internal
31055,04019,,Pima,4,External-Internal
36061,04019,,Pima,10,External-Internal
06049,04019,,Pima,6,External-Internal
48309,04019,,Pima,9,External-Internal
24009,04019,,Pima,5,External-Internal
40021,04019,,Pima,19,External-Internal
27173,04019,,Pima,4,External-Internal
17073,04019,,Pima,2,External-Internal
34025,04003,,Cochise,7,External-Internal
26015,04019,,Pima,13,External-Internal
04017,04019,,Pima,94,External-Internal
42101,04003,,Cochise,19,External-Internal
48199,04019,,Pima,8,External-Internal
34021,04019,,Pima,8,External-Internal
38049,04019,,Pima,1,External-Internal
22105,04019,,Pima,8,External-Internal
04015,04003,,Cochise,5,External-Internal
21067,04019,,Pima,13,External-Internal
41039,04019,,Pima,3,External-Internal
24031,04019,,Pima,7,External-Internal
24003,04019,,Pima,8,External-Internal
17097,04019,,Pima,12,External-Internal
35005,04019,,Pima,9,External-Internal
01021,04019,,Pima,18,External-Internal
29051,04019,,Pima,9,External-Internal
27119,04019,,Pima,4,External-Internal
25017,04019,,Pima,9,External-Internal
30013,04019,,Pima,5,External-Internal
04003,04003,Cochise,Cochise,43778,Internal-Internal
48027,04003,,Cochise,2,External-Internal
04003,04019,Cochise,Pima,1711,Internal-Internal
37051,04019,,Pima,12,External-Internal
04012,04019,,Pima,3,External-Internal
30031,04019,,Pima,9,External-Internal
49047,04019,,Pima,2,External-Internal
13313,04019,,Pima,27,External-Internal
51810,04019,,Pima,6,External-Internal
08085,04003,,Cochise,8,External-Internal
12031,04019,,Pima,24,External-Internal
08015,04019,,Pima,4,External-Internal
55025,04003,,Cochise,10,External-Internal
25005,04019,,Pima,22,External-Internal
13009,04019,,Pima,5,External-Internal
04019,04023,Pima,Santa Cruz,1421,Internal-Internal
48141,04019,,Pima,32,External-Internal
30099,04019,,Pima,3,External-Internal
35013,04019,,Pima,23,External-Internal
06047,04019,,Pima,12,External-Internal
02020,04003,,Cochise,6,External-Internal
48029,04019,,Pima,26,External-Internal
04003,04023,Cochise,Santa Cruz,133,Internal-Internal
50027,04019,,Pima,16,External-Internal
40031,04019,,Pima,15,External-Internal
06037,04019,,Pima,91,External-Internal
06029,04019,,Pima,22,External-Internal
08041,04003,,Cochise,20,External-Internal
31109,04019,,Pima,4,External-Internal
48085,04019,,Pima,12,External-Internal
12005,04019,,Pima,9,External-Internal
23021,04003,,Cochise,7,External-Internal
08005,04019,,Pima,54,External-Internal
19031,04019,,Pima,2,External-Internal
27007,04019,,Pima,2,External-Internal
35005,04003,,Cochise,5,External-Internal
04021,04019,,Pima,2601,External-Internal
02232,04019,,Pima,2,External-Internal
35049,04019,,Pima,12,External-Internal
06073,04019,,Pima,67,External-Internal
06097,04019,,Pima,8,External-Internal
06073,04003,,Cochise,48,External-Internal
51600,04019,,Pima,5,External-Internal
12057,04019,,Pima,5,External-Internal
35031,04019,,Pima,8,External-Internal
04009,04003,,Cochise,132,External-Internal
35023,04019,,Pima,11,External-Internal
48041,04019,,Pima,9,External-Internal
18069,04019,,Pima,5,External-Internal
30063,04019,,Pima,6,External-Internal
18003,04019,,Pima,19,External-Internal
16047,04019,,Pima,12,External-Internal
04011,04003,,Cochise,15,External-Internal
16001,04019,,Pima,9,External-Internal
08083,04003,,Cochise,5,External-Internal
48451,04003,,Cochise,10,External-Internal
48303,04019,,Pima,7,External-Internal
08067,04019,,Pima,3,External-Internal
16011,04019,,Pima,10,External-Internal
06067,04019,,Pima,7,External-Internal
06083,04019,,Pima,26,External-Internal
37081,04023,,Santa Cruz,8,External-Internal
12117,04019,,Pima,9,External-Internal
04023,04023,Santa Cruz,Santa Cruz,10955,Internal-Internal
37183,04003,,Cochise,2,External-Internal
17031,04019,,Pima,36,External-Internal
06057,04019,,Pima,11,External-Internal
04007,04019,,Pima,56,External-Internal
13137,04003,,Cochise,10,External-Internal
08113,04019,,Pima,2,External-Internal
04005,04023,,Santa Cruz,4,External-Internal
48099,04003,,Cochise,7,External-Internal
56013,04019,,Pima,2,External-Internal
36027,04019,,Pima,7,External-Internal
12086,04019,,Pima,14,External-Internal
